experiment_id,variant_name,model_name,pretrainer,dataset,freeze_encoder,encoder_type,scorer_type,weakly_supervision,config_type,model_cate,architecture,input_dim,latent_dim,components_used
323a8dc7-ba54-4081-aad2-e6c8f43d64b8,feature_ae_loss_scorer,vae_feawad,True,cardio,,,scoring_network,30,vae_feawad_default_configs,proposed,VAE,21,64,"['feature', 'ae', 'loss', 'scorer']"
3e3bbbe9-d46e-469d-a6fd-9e6cb0038f63,feature_ae_loss_scorer,vae_feawad,True,cardio,,,scoring_network,60,vae_feawad_default_configs,proposed,VAE,21,64,"['feature', 'ae', 'loss', 'scorer']"
9f41336a-e6d8-477c-8cff-f3c58d49df63,feature_ae_loss_scorer,vae_feawad,True,cardio,,,scoring_network,90,vae_feawad_default_configs,proposed,VAE,21,64,"['feature', 'ae', 'loss', 'scorer']"
840d58c4-9b4d-40a9-8326-581deb80044d,feature_ae_loss_scorer,vae_feawad,True,cardio,,,scoring_network,120,vae_feawad_default_configs,proposed,VAE,21,64,"['feature', 'ae', 'loss', 'scorer']"
d08405b0-6d9b-4d9a-acc4-8e19cacfaa95,feature_ae_loss_scorer,vae_feawad,True,satellite,,,scoring_network,30,vae_feawad_default_configs,proposed,VAE,36,64,"['feature', 'ae', 'loss', 'scorer']"
31464133-ab8c-4405-b33d-1c290471cef2,feature_ae_loss_scorer,vae_feawad,True,satellite,,,scoring_network,60,vae_feawad_default_configs,proposed,VAE,36,64,"['feature', 'ae', 'loss', 'scorer']"
4c894ace-fbf0-4ae8-8256-8b78cf99b3c1,feature_ae_loss_scorer,vae_feawad,True,satellite,,,scoring_network,90,vae_feawad_default_configs,proposed,VAE,36,64,"['feature', 'ae', 'loss', 'scorer']"
31de4d46-5c01-43a2-a5fd-4ca0d36871dc,feature_ae_loss_scorer,vae_feawad,True,satellite,,,scoring_network,120,vae_feawad_default_configs,proposed,VAE,36,64,"['feature', 'ae', 'loss', 'scorer']"
2ac046d9-203f-46d9-ba7c-a570f0767845,feature_ae_loss_scorer,vae_feawad,True,shuttle,,,scoring_network,30,vae_feawad_default_configs,proposed,VAE,9,64,"['feature', 'ae', 'loss', 'scorer']"
f0c51aa4-4405-4201-95ed-20d593d10673,feature_ae_loss_scorer,vae_feawad,True,shuttle,,,scoring_network,60,vae_feawad_default_configs,proposed,VAE,9,64,"['feature', 'ae', 'loss', 'scorer']"
7eb98a20-5138-44e4-a95e-069d680a9075,feature_ae_loss_scorer,vae_feawad,True,shuttle,,,scoring_network,90,vae_feawad_default_configs,proposed,VAE,9,64,"['feature', 'ae', 'loss', 'scorer']"
40bbd71d-85bc-4461-9f60-1b4fc55d9de1,feature_ae_loss_scorer,vae_feawad,True,shuttle,,,scoring_network,120,vae_feawad_default_configs,proposed,VAE,9,64,"['feature', 'ae', 'loss', 'scorer']"
b03faaba-98c0-4341-ac27-6102ca838dd0,feature_ae_loss_scorer,vae_feawad,True,mammography,,,scoring_network,30,vae_feawad_default_configs,proposed,VAE,6,64,"['feature', 'ae', 'loss', 'scorer']"
4269be5e-f6f2-494a-85e6-8fa34949b0d7,feature_ae_loss_scorer,vae_feawad,True,mammography,,,scoring_network,60,vae_feawad_default_configs,proposed,VAE,6,64,"['feature', 'ae', 'loss', 'scorer']"
2f6cdbed-b83e-48dd-91ce-8cbd3656f236,feature_ae_loss_scorer,vae_feawad,True,mammography,,,scoring_network,90,vae_feawad_default_configs,proposed,VAE,6,64,"['feature', 'ae', 'loss', 'scorer']"
041dc99b-ab89-459d-ae53-741dd8662726,feature_ae_loss_scorer,vae_feawad,True,mammography,,,scoring_network,120,vae_feawad_default_configs,proposed,VAE,6,64,"['feature', 'ae', 'loss', 'scorer']"
bb17f6e2-95c5-4f0f-baa3-c88dca5d3eaa,feature_ae_loss_scorer,vae_feawad,True,fraud,,,scoring_network,30,vae_feawad_default_configs,proposed,VAE,29,64,"['feature', 'ae', 'loss', 'scorer']"
3afc3376-7339-4b81-9bd0-e6c471e184dc,feature_ae_loss_scorer,vae_feawad,True,fraud,,,scoring_network,60,vae_feawad_default_configs,proposed,VAE,29,64,"['feature', 'ae', 'loss', 'scorer']"
579f887c-d9da-489e-8752-568497388793,feature_ae_loss_scorer,vae_feawad,True,fraud,,,scoring_network,90,vae_feawad_default_configs,proposed,VAE,29,64,"['feature', 'ae', 'loss', 'scorer']"
07b74c3f-a028-47e4-a867-430e1cfea73c,feature_ae_loss_scorer,vae_feawad,True,fraud,,,scoring_network,120,vae_feawad_default_configs,proposed,VAE,29,64,"['feature', 'ae', 'loss', 'scorer']"
1da8ec62-aa71-4712-8f40-22786bdcb437,feature_ae_loss_scorer,dagmm,,nslkdd,,,estimation_network,30,dagmm_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
edffd47d-433c-41ac-be43-6f94c0cae62d,feature_ae_loss_scorer,dagmm,,nslkdd,,,estimation_network,60,dagmm_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
a67a0447-f220-4cea-877a-5eccae783daa,feature_ae_loss_scorer,dagmm,,nslkdd,,,estimation_network,90,dagmm_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
8aebe73a-b003-4504-971c-21859b1e8595,feature_ae_loss_scorer,dagmm,,nslkdd,,,estimation_network,120,dagmm_default_configs,benchmark,AE,122,64,"['feature', 'ae', 'loss', 'scorer']"
1f2a2fca-cb98-48ff-95b9-d4dc583dffb2,feature_ae_loss_scorer,dagmm,,spambase,,,estimation_network,30,dagmm_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
644eaa5d-0cf3-4b04-865e-6e29473a2a0f,feature_ae_loss_scorer,dagmm,,spambase,,,estimation_network,60,dagmm_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
78847d2d-b288-4b5b-8f10-7e9aef80045c,feature_ae_loss_scorer,dagmm,,spambase,,,estimation_network,90,dagmm_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
728a06b8-2a7f-4527-946c-c701d8109638,feature_ae_loss_scorer,dagmm,,spambase,,,estimation_network,120,dagmm_default_configs,benchmark,AE,57,64,"['feature', 'ae', 'loss', 'scorer']"
4951a897-94d2-4c3e-adb8-34f06a756212,feature_ae_loss_scorer,dagmm,,arrhythmia,,,estimation_network,15,dagmm_default_configs,benchmark,AE,279,64,"['feature', 'ae', 'loss', 'scorer']"
bd2b18f6-ab1b-4379-989f-7bc61ebd6c6d,feature_ae_loss_scorer,dagmm,,cardio,,,estimation_network,30,dagmm_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
807be43d-284a-4470-83e2-bbe114e293e9,feature_ae_loss_scorer,dagmm,,cardio,,,estimation_network,60,dagmm_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
65ad140f-ab28-481e-a3ff-d5efc3ae6cb0,feature_ae_loss_scorer,dagmm,,cardio,,,estimation_network,90,dagmm_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
6ff24c7f-5365-45d7-be6c-8fc0d232d249,feature_ae_loss_scorer,dagmm,,cardio,,,estimation_network,120,dagmm_default_configs,benchmark,AE,21,64,"['feature', 'ae', 'loss', 'scorer']"
eeae538a-eaa2-4194-9a3b-01a65f4b23fc,feature_ae_loss_scorer,dagmm,,satellite,,,estimation_network,30,dagmm_default_configs,benchmark,AE,36,64,"['feature', 'ae', 'loss', 'scorer']"
e85fba80-b35f-4b4d-a4d1-df71d1042448,feature_ae_loss_scorer,dagmm,,satellite,,,estimation_network,60,dagmm_default_configs,benchmark,AE,36,64,"['feature', 'ae', 'loss', 'scorer']"
4ef8170a-a7d2-489b-b2cf-19aff56b4658,feature_ae_loss_scorer,dagmm,,satellite,,,estimation_network,90,dagmm_default_configs,benchmark,AE,36,64,"['feature', 'ae', 'loss', 'scorer']"
33cbce83-a92e-4754-b51c-12003646f0c7,feature_ae_loss_scorer,dagmm,,satellite,,,estimation_network,120,dagmm_default_configs,benchmark,AE,36,64,"['feature', 'ae', 'loss', 'scorer']"
9c662599-b963-4016-b54d-9808c9a69a4b,feature_ae_loss_scorer,dagmm,,shuttle,,,estimation_network,30,dagmm_default_configs,benchmark,AE,9,64,"['feature', 'ae', 'loss', 'scorer']"
df4c620d-03de-45a6-8a3e-fc5d9149762c,feature_ae_loss_scorer,dagmm,,shuttle,,,estimation_network,60,dagmm_default_configs,benchmark,AE,9,64,"['feature', 'ae', 'loss', 'scorer']"
851ee5fe-6c1b-4042-bb93-2db51c854751,feature_ae_loss_scorer,dagmm,,shuttle,,,estimation_network,90,dagmm_default_configs,benchmark,AE,9,64,"['feature', 'ae', 'loss', 'scorer']"
8eb2fd6f-1682-4ec5-b152-6b1037e7b5fe,feature_ae_loss_scorer,dagmm,,shuttle,,,estimation_network,120,dagmm_default_configs,benchmark,AE,9,64,"['feature', 'ae', 'loss', 'scorer']"
6333d0c5-41a8-4e4d-8274-111fa5301d80,feature_ae_loss_scorer,dagmm,,mammography,,,estimation_network,30,dagmm_default_configs,benchmark,AE,6,64,"['feature', 'ae', 'loss', 'scorer']"
a12f3410-ffef-4687-b67c-c449588596c8,feature_ae_loss_scorer,dagmm,,mammography,,,estimation_network,60,dagmm_default_configs,benchmark,AE,6,64,"['feature', 'ae', 'loss', 'scorer']"
99a119dc-650e-4e1e-b2ba-19cf6cb33791,feature_ae_loss_scorer,dagmm,,mammography,,,estimation_network,90,dagmm_default_configs,benchmark,AE,6,64,"['feature', 'ae', 'loss', 'scorer']"
09b6edfa-869f-4902-8c22-d370755bead0,feature_ae_loss_scorer,dagmm,,mammography,,,estimation_network,120,dagmm_default_configs,benchmark,AE,6,64,"['feature', 'ae', 'loss', 'scorer']"
aeda52a2-9cae-4272-b533-587c512eac3f,feature_ae_loss_scorer,dagmm,,fraud,,,estimation_network,30,dagmm_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
3d7c24e4-2398-43a9-9036-69947ee899d4,feature_ae_loss_scorer,dagmm,,fraud,,,estimation_network,60,dagmm_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
d9c133a5-bfea-4878-bb24-d7ab1cfa38c6,feature_ae_loss_scorer,dagmm,,fraud,,,estimation_network,90,dagmm_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
34d90591-a255-43c6-bf91-a4b23abc6405,feature_ae_loss_scorer,dagmm,,fraud,,,estimation_network,120,dagmm_default_configs,benchmark,AE,29,64,"['feature', 'ae', 'loss', 'scorer']"
60ecb633-8ee2-4261-ad5e-d9408ab118ce,feature_ae_loss_scorer,devnet,,nslkdd,,,devnet_scorer,30,devnet_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
dd300fb7-0013-4ff3-9e91-c214e4fbaca6,feature_ae_loss_scorer,devnet,,nslkdd,,,devnet_scorer,60,devnet_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
9262e4f5-97a6-4b8b-9148-534c2fd707e7,feature_ae_loss_scorer,devnet,,nslkdd,,,devnet_scorer,90,devnet_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
d3baa406-a2e2-476b-8f57-bf5488986b04,feature_ae_loss_scorer,devnet,,nslkdd,,,devnet_scorer,120,devnet_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
146419bb-e1e5-44b1-9ed0-459996e183e2,feature_ae_loss_scorer,devnet,,spambase,,,devnet_scorer,30,devnet_default_configs,benchmark,MLP,57,64,"['feature', 'ae', 'loss', 'scorer']"
